multiplier1,multiplier2,product,stdev,text,timestamp,type_a,type_b,player,number,stat,game_start,mult1,mult2
1.28,2.78,3.5584,1.06066,C. Williams1.5Pass TDsCHI@MINSun 1PM1.28x2.78x,2024-11-21 22:42:52,NFL,Pass TDs,,,,,,
2.68,1.32,3.5376,0.96167,G. Minshew0.5Pass TDsLV@DENSun 4PM2.68x1.32x,2024-11-21 22:42:52,NFL,Pass TDs,,,,,,
1.34,2.62,3.5108,0.9051,Drake Maye1.5Pass TDsMIA@NESun 1PM1.34x2.62x,2024-11-21 22:42:52,NFL,Pass TDs,,,,,,
2.48,1.4,3.472,0.76368,Cooper Rush0.5Pass TDsWAS@DALSun 1PM2.48x1.4x,2024-11-21 22:42:52,NFL,Pass TDs,,,,,,
2.56,1.35,3.456,0.8556,Will Levis0.5Pass TDsHOU@TENSun 1PM2.56x1.35x,2024-11-21 22:42:52,NFL,Pass TDs,,,,,,
1.46,2.34,3.4164,0.62225,Jalen Hurts1.5Pass TDsLAR@PHISun 8PM1.46x2.34x,2024-11-21 22:42:52,NFL,Pass TDs,,,,,,
2.3,1.48,3.404,0.57983,Tommy DeVito0.5Pass TDsNYG@TBSun 1PM2.3x1.48x,2024-11-21 22:42:52,NFL,Pass TDs,,,,,,
1.5,2.23,3.345,0.51619,Kyler Murray1.5Pass TDsSEA@ARISun 4PM1.5x2.23x,2024-11-21 22:42:52,NFL,Pass TDs,,,,,,
2.2,1.52,3.344,0.48083,P. Mahomes1.5Pass TDsCAR@KCSun 1PM2.2x1.52x,2024-11-21 22:42:52,NFL,Pass TDs,,,,,,
1.68,1.98,3.3264,0.21213,C.J. Stroud1.5Pass TDsHOU@TENSun 1PM1.68x1.98x,2024-11-21 22:42:52,NFL,Pass TDs,,,,,,
1.59,2.09,3.3231,0.35355,Bo Nix1.5Pass TDsLV@DENSun 4PM1.59x2.09x,2024-11-21 22:42:52,NFL,Pass TDs,,,,,,
1.53,2.17,3.3201,0.45255,Brock Purdy1.5Pass TDsGB@SFSun 4PM1.53x2.17x,2024-11-21 22:42:52,NFL,Pass TDs,,,,,,
1.94,1.71,3.3174,0.16263,T. Tagovailoa1.5Pass TDsMIA@NESun 1PM1.94x1.71x,2024-11-21 22:42:52,NFL,Pass TDs,,,,,,
1.7,1.95,3.315,0.17678,M. Stafford1.5Pass TDsLAR@PHISun 8PM1.7x1.95x,2024-11-21 22:42:52,NFL,Pass TDs,,,,,,
1.86,1.78,3.3108,0.05657,Geno Smith1.5Pass TDsSEA@ARISun 4PM1.86x1.78x,2024-11-21 22:42:52,NFL,Pass TDs,,,,,,
1.76,1.88,3.3088,0.08485,J. Daniels1.5Pass TDsWAS@DALSun 1PM1.76x1.88x,2024-11-21 22:42:52,NFL,Pass TDs,,,,,,
2.16,1.53,3.3048,0.44548,Bryce Young0.5Pass TDsCAR@KCSun 1PM2.16x1.53x,2024-11-21 22:42:52,NFL,Pass TDs,,,,,,
1.91,1.73,3.3043,0.12728,Jordan Love1.5Pass TDsGB@SFSun 4PM1.91x1.73x,2024-11-21 22:42:52,NFL,Pass TDs,,,,,,
1.78,1.85,3.293,0.0495,B. Mayfield1.5Pass TDsNYG@TBSun 1PM1.78x1.85x,2024-11-21 22:42:52,NFL,Pass TDs,,,,,,
1.88,1.75,3.29,0.09192,Lamar Jackson1.5Pass TDsLAC@BALMon 8PM1.88x1.75x,2024-11-21 22:42:52,NFL,Pass TDs,,,,,,
1.88,1.75,3.29,0.09192,J. Herbert1.5Pass TDsLAC@BALMon 8PM1.88x1.75x,2024-11-21 22:42:52,NFL,Pass TDs,,,,,,
1.58,2.06,3.2548,0.33941,Sam Darnold1.5Pass TDsCHI@MINSun 1PM1.58x2.06x,2024-11-21 22:42:52,NFL,Pass TDs,,,,,,
1.93,1.72,3.3196,0.14849,T. Tagovailoa31.5Ps AttMIA@NESun 1PM1.93x1.72x,2024-11-21 22:42:52,NFL,Pass Attempts,,,,,,
1.82,1.82,3.3124,0.0,C. Williams31.5Ps AttCHI@MINSun 1PM1.82x1.82x,2024-11-21 22:42:52,NFL,Pass Attempts,,,,,,
1.82,1.82,3.3124,0.0,Tommy DeVito27.5Ps AttNYG@TBSun 1PM1.82x1.82x,2024-11-21 22:42:52,NFL,Pass Attempts,,,,,,
1.82,1.82,3.3124,0.0,Bo Nix31.5Ps AttLV@DENSun 4PM1.82x1.82x,2024-11-21 22:42:52,NFL,Pass Attempts,,,,,,
1.8,1.84,3.312,0.02828,G. Minshew33.5Ps AttLV@DENSun 4PM1.8x1.84x,2024-11-21 22:42:52,NFL,Pass Attempts,,,,,,
1.78,1.86,3.3108,0.05657,J. Daniels28.5Ps AttWAS@DALSun 1PM1.78x1.86x,2024-11-21 22:42:52,NFL,Pass Attempts,,,,,,
1.74,1.9,3.306,0.11314,Will Levis30.5Ps AttHOU@TENSun 1PM1.74x1.9x,2024-11-21 22:42:52,NFL,Pass Attempts,,,,,,
1.85,1.78,3.293,0.0495,Cooper Rush34.5Ps AttWAS@DALSun 1PM1.85x1.78x,2024-11-21 22:42:52,NFL,Pass Attempts,,,,,,
1.78,1.85,3.293,0.0495,Geno Smith34.5Ps AttSEA@ARISun 4PM1.78x1.85x,2024-11-21 22:42:52,NFL,Pass Attempts,,,,,,
